nom,french_attribut,CO2,main_type,sous_type
Bouillon de boeuf,déshydraté reconstitué,0.14,Plats composés,Soupes
Bouillon de légumes,déshydraté reconstitué,0.13,Plats composés,Soupes
Boules de maïs soufflées au miel,enrichies en vitamines et minéraux,3.56,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Boulette végétale au soja et/ou blé,préemballé,1.96,Plats composés,Plats Végétariens
Boulettes au buf,à la sauce tomate,11.6,Plats composés,Plats composés
Boulgour de blé,cru,1.16,Produits céréaliers,"Pâtes, riz et céréales"
Brick garni,"(garniture : crevettes, légumes,  volaille, viande, poisson, etc)",3.52,Plats composés,Feuilletés et autres entrées
Brie,sans précision,5.27,Produits Laitiers,Fromages
Brioche,de boulangerie traditionnelle-préemballé-sans précision,3.37,Produits céréaliers,
Brioche fourrée crème pâtissière (type chinois),préemballé,2.71,Produits céréaliers,Pains et viennoiseries
Brochette de porc,cru,6.95,"Viandes, oeufs, poissons",Autres produits à base de viande
Brocoli,cru,0.91,Fruits et Légumes,Légumes
Brocoli,purée,1.21,Fruits et Légumes,Légumes
Brocoli,surgelé,1.32,Fruits et Légumes,Légumes
Brème,cru,12.7,"Viandes, oeufs, poissons",Poissons crus
Buf,steak haché 10% MG-steak haché 15% MG-steak haché 20% MG-steak haché 5% MG,34.1,"Viandes, oeufs, poissons",
Cabillaud,cru,10.8,"Viandes, oeufs, poissons",Poissons crus
Cacahuète,grillée,4.16,Fruits et Légumes,Fruits à coque et graines oléagineuses
Cacahuètes (arachide) enrobées d'un biscuit,pour apéritif,3.22,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Cacao,non sucré,27.1,Boissons,Boissons sans alcool
Café,non instantané,0.6,Boissons,Boissons sans alcool
Café,instantané,1.59,Boissons,Boissons sans alcool
Café,moulu,10.1,Boissons,Boissons sans alcool
Café,poudre soluble,27.1,Boissons,Boissons sans alcool
Café,décaféiné,28.7,Boissons,Boissons sans alcool
Café au lait,café crème ou cappuccino,0.5,Boissons,Boissons sans alcool
Café au lait ou cappuccino,poudre soluble,7.87,Boissons,Boissons sans alcool
Café au lait ou cappuccino au chocolat,poudre soluble,8.43,Boissons,Boissons sans alcool
Café décaféiné,non instantané,0.64,Boissons,Boissons sans alcool
Café décaféiné,instantané,1.69,Boissons,Boissons sans alcool
Café expresso,non instantané,0.6,Boissons,Boissons sans alcool
Cake salé,"(garniture : fromage légumes,  volaille, viande, poisson, etc)",3.91,Plats composés,Feuilletés et autres entrées
Calmar ou Calamar ou encornet,à la romaine (beignet),5.26,"Viandes, oeufs, poissons",Produits à base de poissons et produits de la mer
Calmar ou calamar ou encornet,frit ou poêlé avec matière grasse,6.45,"Viandes, oeufs, poissons",Mollusques et crustacés cuits
Calmar ou calamar ou encornet,cru,12.0,"Viandes, oeufs, poissons",Mollusques et crustacés crus
Camembert,sans précision,5.23,Produits Laitiers,Fromages
Canard,cuisse avec peau-viande-viande et peau,6.98,"Viandes, oeufs, poissons",
Canard,magret,9.12,"Viandes, oeufs, poissons",Viandes crues
Canard,magret fumé,9.58,"Viandes, oeufs, poissons",Charcuteries
Canard en sauce,(poivre vert chasseur  etc.),6.38,Plats composés,Plats composés
Canneberge ou cranberry,cru,1.55,Fruits et Légumes,Fruits
Cannelle,poudre,9.19,Aides culinaires et ingrédients divers,Epices
Cantal,Salers ou Laguiole,5.98,Produits Laitiers,Fromages
Capelan,cru,8.4,"Viandes, oeufs, poissons",Poissons crus
Carambole,pulpe,0.54,Fruits et Légumes,Fruits
Carangue,cru,4.25,"Viandes, oeufs, poissons",Poissons crus
Cardamome,poudre,9.19,Aides culinaires et ingrédients divers,Epices
Cardine franche,cru,10.8,"Viandes, oeufs, poissons",Poissons crus
Cardon,cru,0.76,Fruits et Légumes,Légumes
Carotte,cru,0.36,Fruits et Légumes,Légumes
Carotte,purée,0.67,Fruits et Légumes,Légumes
Carotte,surgelé,0.84,Fruits et Légumes,Légumes
Carotte,appertisée,1.02,Fruits et Légumes,Légumes
Carottes râpées,avec sauce,1.04,Fruits et Légumes,Légumes
Carpe,cru,6.64,"Viandes, oeufs, poissons",Poissons crus
Carrelet ou plie,pané,13.3,"Viandes, oeufs, poissons",Produits à base de poissons et produits de la mer
Carvi,graine,9.19,Aides culinaires et ingrédients divers,Epices
Cassis,cru,1.81,Fruits et Légumes,Fruits
Cassoulet,appertisé,0.77,Plats composés,Plats composés
Cassoulet au canard ou oie,appertisé,2.4,Plats composés,Plats composés
Cassoulet au porc,appertisé,2.96,Plats composés,Plats composés
Cerfeuil,frais,0.82,Aides culinaires et ingrédients divers,Herbes
Cerise,dénoyautée,1.35,Fruits et Légumes,Fruits
Cervelas à l'ail,pur porc,5.23,"Viandes, oeufs, poissons",Charcuteries
Cervelle,porc,2.1,"Viandes, oeufs, poissons",Viandes crues
Cervelle,veau,17.8,"Viandes, oeufs, poissons",Viandes crues
Cervelle,agneau,21.6,"Viandes, oeufs, poissons",Viandes crues
Chair à saucisse,porc et buf-pur porc,5.09,"Viandes, oeufs, poissons",
Chair à saucisse,cru,8.98,"Viandes, oeufs, poissons",Charcuteries
Champignon,morille,0.49,Fruits et Légumes,Légumes
Chapon,viande et peau,6.97,"Viandes, oeufs, poissons",Viandes crues
Cheeseburger,provenant de fast food,17.7,Plats composés,Sandwichs
Cheesecake ou Gâteau au fromage frais,rayon frais,2.88,Produits Laitiers,Produits laitiers frais et assimilés
Chevreau,cru,41.3,"Viandes, oeufs, poissons",Viandes crues
Chia,graine,3.52,Fruits et Légumes,Fruits à coque et graines oléagineuses
Chicorée,poudre soluble,0.12,Boissons,Boissons sans alcool
Chicorée,instantanée,1.31,Boissons,Boissons sans alcool
Chicorée et café,instantané,2.3,Boissons,Boissons sans alcool
