nom,french_attribut,CO2,main_type,sous_type
Pain grillé,tranches,0.76,Produits céréaliers,Pains et viennoiseries
Pain grillé,domestique,0.96,Produits céréaliers,Pains et viennoiseries
Pain grillé brioché,tranché,1.71,Produits céréaliers,Pains et viennoiseries
Pain pour hamburger ou hot dog (bun),complet,0.68,Produits céréaliers,Pains et viennoiseries
Pain pour hamburger ou hot dog (bun),préemballé,1.7,Produits céréaliers,Pains et viennoiseries
Palet ou galette de légumes,préfrit,1.21,Plats composés,Plats composés
Palmier,artisanal,2.85,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Pamplemousse chinois,pulpe,0.86,Fruits et Légumes,Fruits
Panais,cru,0.46,Fruits et Légumes,Légumes
Panga,Pangasius,17.0,"Viandes, oeufs, poissons",Poissons cuits
Pangasius ou Poisson-chat,cru,12.7,"Viandes, oeufs, poissons",Poissons crus
Panna cotta,rayon frais,1.92,Produits Laitiers,Produits laitiers frais et assimilés
Papaye,pulpe,0.86,Fruits et Légumes,Fruits
Pastèque,pulpe,0.64,Fruits et Légumes,Fruits
Patate douce,cru,0.3,Fruits et Légumes,Pommes de terre et autres tubercules
Patate douce,purée,0.92,Fruits et Légumes,Pommes de terre et autres tubercules
Pavot,graine,1.84,Aides culinaires et ingrédients divers,Epices
Pecten d'Amérique ou Peigne du canada,noix,9.68,"Viandes, oeufs, poissons",Mollusques et crustacés crus
Perche,cru,5.3,"Viandes, oeufs, poissons",Poissons crus
Perche du Nil,cru,6.64,"Viandes, oeufs, poissons",Poissons crus
Persil,frais,1.09,Aides culinaires et ingrédients divers,Herbes
Persil,séché,3.35,Aides culinaires et ingrédients divers,Herbes
Petits pois,crus,0.67,Fruits et Légumes,Légumes
Petits pois,purée,1.01,Fruits et Légumes,Légumes
Petits pois,surgelés,1.15,Fruits et Légumes,Légumes
Petits pois,appertisés,1.33,Fruits et Légumes,Légumes
Petits pois et carottes,surgelés,0.96,Fruits et Légumes,Légumes
Petits pois et carottes,appertisés,0.99,Fruits et Légumes,Légumes
Pilchard,sauce tomate,6.09,"Viandes, oeufs, poissons",Produits à base de poissons et produits de la mer
Piment,cru,1.19,Fruits et Légumes,Légumes
Pintade,poitrine,6.82,"Viandes, oeufs, poissons",Viandes crues
Pintade,cru-cuisse,6.98,"Viandes, oeufs, poissons",
Pissenlit,cru,0.95,Fruits et Légumes,Légumes
Pistache,grillée,7.35,Fruits et Légumes,Fruits à coque et graines oléagineuses
Pizza,sauce garniture pour,0.72,Aides culinaires et ingrédients divers,Aides culinaires
Pizza aux lardons,oignons et fromage,3.59,Plats composés,"Pizzas, tartes et crêpes salées"
Pizza jambon fromage champignons ou pizza royale,reine ou regina,3.27,Plats composés,"Pizzas, tartes et crêpes salées"
Pizza à la viande,type bolognaise,7.48,Plats composés,"Pizzas, tartes et crêpes salées"
Plat légumes,avec féculent,0.8,Aliments infantiles,Petits pots salés et plats infantiles
Plat légumes,avec féculent et lait/crème,0.9,Aliments infantiles,Petits pots salés et plats infantiles
Plat légumes,avec féculent et viande/poisson,1.85,Aliments infantiles,Petits pots salés et plats infantiles
Plie commune,cru,10.8,"Viandes, oeufs, poissons",Poissons crus
Poire,pulpe-pulpe et peau,0.37,Fruits et Légumes,
Poire au sirop léger,appertisée,0.49,Fruits et Légumes,Fruits
Poireau,cru,0.77,Fruits et Légumes,Légumes
Poireau,surgelé,1.06,Fruits et Légumes,Légumes
Pois cassé,sec,0.88,Fruits et Légumes,Légumineuses
Pois chiche,sec,0.99,Fruits et Légumes,Légumineuses
Pois chiche,appertisé,1.93,Fruits et Légumes,Légumineuses
Pois mange-tout ou pois gourmand,cru,0.91,Fruits et Légumes,Légumes
Poisson,croquette ou beignet ou nuggets,7.86,"Viandes, oeufs, poissons",Produits à base de poissons et produits de la mer
Poisson blanc à la marinière,(sauce aux oignons  vin blanc  moules),7.77,Plats composés,Plats composés
Poisson en sauce,surgelé,8.79,Plats composés,Plats composés
Poisson pané,frit,8.35,"Viandes, oeufs, poissons",Produits à base de poissons et produits de la mer
Poisson pané,surgelé,8.48,"Viandes, oeufs, poissons",Produits à base de poissons et produits de la mer
Poitrine de porc,fumée,6.28,"Viandes, oeufs, poissons",Charcuteries
Poivre blanc,poudre,9.19,Aides culinaires et ingrédients divers,Epices
Poivre noir,poudre,9.19,Aides culinaires et ingrédients divers,Epices
Poivron,vert,1.19,Fruits et Légumes,Légumes
Poivron jaune,cru,1.19,Fruits et Légumes,Légumes
Poivron rouge,cru,1.19,Fruits et Légumes,Légumes
Poivron rouge,appertisé,1.31,Fruits et Légumes,Légumes
Poivron vert,cru,1.19,Fruits et Légumes,Légumes
Polenta ou semoule de maïs,précuite,1.67,Produits céréaliers,"Pâtes, riz et céréales"
Pomelo (dit Pamplemousse),pulpe,1.18,Fruits et Légumes,Fruits
Pomelo (dit Pamplemousse) jaune,pulpe,1.18,Fruits et Légumes,Fruits
Pomelo (dit Pamplemousse) rose,pulpe,1.18,Fruits et Légumes,Fruits
Pomme,pulpe et peau,0.4,Fruits et Légumes,Fruits
Pomme,pulpe,0.68,Fruits et Légumes,Fruits
Pomme,sèche,1.69,Fruits et Légumes,Fruits
Pomme Canada,pulpe,0.4,Fruits et Légumes,Fruits
Pomme Golden,pulpe et peau,0.46,Fruits et Légumes,Fruits
Pomme de terre,sans peau,0.65,Fruits et Légumes,Pommes de terre et autres tubercules
Pomme de terre,sautée/poêlée,0.81,Fruits et Légumes,Pommes de terre et autres tubercules
Pomme de terre,flocons déshydratés,1.01,Fruits et Légumes,Pommes de terre et autres tubercules
Pomme de terre,purée-purée à base de flocons,1.39,Fruits et Légumes,
Pomme de terre dauphine,surgelé,2.58,Fruits et Légumes,Pommes de terre et autres tubercules
Pomme de terre de conservation,sans peau,0.65,Fruits et Légumes,Pommes de terre et autres tubercules
Pomme de terre duchesse,surgelé,2.14,Fruits et Légumes,Pommes de terre et autres tubercules
Pomme de terre noisette,surgelé,4.23,Fruits et Légumes,Pommes de terre et autres tubercules
Pomme de terre nouvelle,cru,0.37,Fruits et Légumes,Pommes de terre et autres tubercules
Pomme de terre primeur,sans peau,0.65,Fruits et Légumes,Pommes de terre et autres tubercules
Pomme de terre rissolée,surgelé,1.21,Fruits et Légumes,Pommes de terre et autres tubercules
Pomme de terre vapeur,sous vide,0.82,Fruits et Légumes,Pommes de terre et autres tubercules
Pop-corn ou Maïs éclaté,à l'huile,0.91,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Pop-corn ou Maïs éclaté,à l'air,0.98,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Pop-corn ou Maïs éclaté,au caramel,1.64,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Porc,bardière découennée,1.72,"Viandes, oeufs, poissons",Viandes crues
Porc,gorge-poitrine cutter,6.39,"Viandes, oeufs, poissons",
Porc,épaule,8.33,"Viandes, oeufs, poissons",Viandes crues
Porc,escalope de jambon-filet-filet mignon-hachage sans jarret-longe-maigre 80/20-maigre 90/10-palette-poitrine-rouelle de jambon-rôti-rôti filet avec chaînette-échine,10.4,"Viandes, oeufs, poissons",
Porc,carré-côte-jambonneau arrière-jarret-travers,10.5,"Viandes, oeufs, poissons",
Porc,jambon sans jarret,13.1,"Viandes, oeufs, poissons",Viandes cuites
Potimarron,pulpe,0.6,Fruits et Légumes,Légumes
Potiron,cru,0.62,Fruits et Légumes,Légumes
Potiron,appertisé,1.13,Fruits et Légumes,Légumes
Poudre cacaotée ou au chocolat pour boisson,sucrée,27.5,Boissons,Boissons sans alcool
Poudre cacaotée ou au chocolat sucrée pour boisson,enrichie en vitamines et minéraux,27.5,Boissons,Boissons sans alcool
Poule,cuisse-viande-viande et peau,6.98,"Viandes, oeufs, poissons",
Poulet,viande-viande et peau,5.52,"Viandes, oeufs, poissons",
Poulet,croquette panée ou nuggets,6.04,"Viandes, oeufs, poissons",Autres produits à base de viande
Poulet,filet-poitrine,6.82,"Viandes, oeufs, poissons",
Poulet,aile-cuisse-haut de cuisse-pilon,6.98,"Viandes, oeufs, poissons",
Poulet,manchons marinés,7.14,"Viandes, oeufs, poissons",Autres produits à base de viande
Poulet,escalope panée,9.06,"Viandes, oeufs, poissons",Autres produits à base de viande
Poulet (var. blanc),viande et peau,6.98,"Viandes, oeufs, poissons",Viandes crues
Poulet fermier,viande et peau,6.98,"Viandes, oeufs, poissons",Viandes crues
Poulet éviscéré sans abats,cru,6.98,"Viandes, oeufs, poissons",Viandes crues
Poêlée de légumes assaisonnés aux champignons (champêtre),surgelé,1.19,Plats composés,Plats composés
Poêlée de légumes assaisonnés grillée,méridionale ou méditerranéenne,1.19,Plats composés,Plats composés
Poêlée de légumes assaisonnés sans champignon,surgelé,1.19,Plats composés,Plats composés
Poêlée de légumes assaisonnés à l'asiatiques ou wok de légumes,surgelé,1.19,Plats composés,Plats composés
Poêlée de pommes de terre préfrites,lardons ou poulet,2.28,Plats composés,Plats composés
Printanière de légumes,surgelé,1.56,Fruits et Légumes,Légumes
Profiteroles (crème pâtissière et sauce chocolat),rayon frais,3.77,Produits Laitiers,Produits laitiers frais et assimilés
Protéine de soja texturée,réhydratée,1.25,"Viandes, oeufs, poissons",Substituts de viande
Prune,cru,0.98,Fruits et Légumes,Fruits
Prune Reine-Claude,cru,0.98,Fruits et Légumes,Fruits
Pruneau,sec,2.9,Fruits et Légumes,Fruits
Préparation culinaire à base de soja, type crème de soja,1.04,Aides culinaires et ingrédients divers,Aides culinaires
Purée de fruits,tout type de fruits,0.8,Fruits et Légumes,Fruits
Pâte brisée,pur beurre,3.26,Produits céréaliers,Farines et pâtes à tarte
Pâte brisée,cru-matière grasse végétale,3.31,Produits céréaliers,
Pâte d'amande,préemballé,2.38,Fruits et Légumes,Fruits à coque et graines oléagineuses
Pâte feuilletée,surgelé,3.54,Produits céréaliers,Farines et pâtes à tarte
Pâte feuilletée,matière grasse végétale,3.64,Produits céréaliers,Farines et pâtes à tarte
Pâte phyllo ou Pâte filo,cru,1.78,Produits céréaliers,Farines et pâtes à tarte
Pâte sablée,cru,3.25,Produits céréaliers,Farines et pâtes à tarte
Pâte à pizza fine,cru,1.13,Produits céréaliers,Farines et pâtes à tarte
Pâtes en sauce aux fromages (spaghetti,tagliatelles),2.96,Plats composés,Plats composés
Pâtes fraîches,aux ufs,1.66,Produits céréaliers,"Pâtes, riz et céréales"
Pâtes fraîches farcies (ex : raviolis),aux légumes,2.19,Plats composés,Plats composés
Pâtes fraîches farcies (ex : raviolis),au fromage et aux légumes-ravioles du Dauphiné,3.05,Plats composés,
Pâtes fraîches farcies (ex : raviolis),à la viande (ex : bolognaise),14.2,Plats composés,Plats composés
Pâtes sèches,sans gluten,1.17,Produits céréaliers,"Pâtes, riz et céréales"
Pâtes sèches,au blé complet,1.54,Produits céréaliers,"Pâtes, riz et céréales"
Pâtes sèches,aux ufs,1.84,Produits céréaliers,"Pâtes, riz et céréales"
Pâtes sèches standard,cru,2.15,Produits céréaliers,"Pâtes, riz et céréales"
Pâtes à la bolognaise (spaghetti,tagliatelles),5.53,Plats composés,Plats composés
Pâtes à la carbonara (spaghetti,tagliatelles),2.75,Plats composés,Plats composés
Pâté de foie de porc,supérieur,5.31,"Viandes, oeufs, poissons",Charcuteries
Pétales de blé avec noix,noisettes ou amandes,3.56,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Pétales de blé chocolatés,enrichis en vitamines et minéraux,3.4,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Pétales de maïs glacés au sucre,enrichis en vitamines et minéraux,3.56,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Pétales de maïs natures,enrichis en vitamines et minéraux,3.56,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Pétoncle ou Peigne du Pérou,noix,9.68,"Viandes, oeufs, poissons",Mollusques et crustacés crus
Pêche,pulpe et peau,0.6,Fruits et Légumes,Fruits
Pêche,sèche,8.22,Fruits et Légumes,Fruits
Pêche au sirop léger,appertisée,0.96,Fruits et Légumes,Fruits
Quatre-quarts ou barre pâtissière,préemballé,3.69,Produits céréaliers,Gâteaux et pâtisseries
Quenelle de poisson,cru,5.63,"Viandes, oeufs, poissons",Charcuteries
Quenelle de poisson,en sauce,5.71,"Viandes, oeufs, poissons",Charcuteries
Quenelle de veau,en sauce,6.07,"Viandes, oeufs, poissons",Charcuteries
Quenelle de volaille,cru,6.1,"Viandes, oeufs, poissons",Charcuteries
Quenelle de volaille,en sauce,6.18,"Viandes, oeufs, poissons",Charcuteries
Quenelle nature,cru,2.62,"Viandes, oeufs, poissons",Charcuteries
Quinoa,cru,6.07,Produits céréaliers,"Pâtes, riz et céréales"
Quinoa FR,cru,8.54,Produits céréaliers,"Pâtes, riz et céréales"
Radis noir,cru,0.6,Fruits et Légumes,Légumes
Radis rouge,cru,0.6,Fruits et Légumes,Légumes
Raie,cru,10.8,"Viandes, oeufs, poissons",Poissons crus
Raifort,cru,0.68,Aides culinaires et ingrédients divers,Herbes
Raisin,cru,0.46,Fruits et Légumes,Fruits
Raisin,sec,1.04,Fruits et Légumes,Fruits
Raisin blanc,à gros grain (type Italia ou Dattier),0.46,Fruits et Légumes,Fruits
Raisin noir,cru,0.46,Fruits et Légumes,Fruits
Rascasse,cru,10.8,"Viandes, oeufs, poissons",Poissons crus
Ravioli à la viande,sauce tomate,3.22,Plats composés,Plats composés
Raviolis aux légumes,sauce tomate,1.98,Plats composés,Plats composés
Requin,cru,10.8,"Viandes, oeufs, poissons",Poissons crus
Rhubarbe,tige,1.24,Fruits et Légumes,Fruits
Ris,veau,22.4,"Viandes, oeufs, poissons",Viandes crues
Ris,agneau,27.1,"Viandes, oeufs, poissons",Viandes crues
Risotto,aux fromages-aux fruits de mer-aux légumes,2.39,Plats composés,
Riste d'aubergines,(aubergines tomates  oignons),0.98,Plats composés,Plats composés
Riz,mélange de variétés (blanc,2.76,Produits céréaliers,"Pâtes, riz et céréales"
Riz au lait,rayon frais,1.7,Produits Laitiers,Produits laitiers frais et assimilés
Riz blanc,cru,2.76,Produits céréaliers,"Pâtes, riz et céréales"
Riz blanc étuvé,cru,2.76,Produits céréaliers,"Pâtes, riz et céréales"
Riz complet,cru,2.76,Produits céréaliers,"Pâtes, riz et céréales"
Riz rouge,cru,2.76,Produits céréaliers,"Pâtes, riz et céréales"
Riz sauvage,cru,2.76,Produits céréaliers,"Pâtes, riz et céréales"
Riz thaï ou basmati,cru,4.1,Produits céréaliers,"Pâtes, riz et céréales"
Rognon,porc,2.1,"Viandes, oeufs, poissons",Viandes crues
Rognon,veau,17.8,"Viandes, oeufs, poissons",Viandes crues
Rognon,agneau,21.6,"Viandes, oeufs, poissons",Viandes crues
Rognon,boeuf,22.1,"Viandes, oeufs, poissons",Viandes crues
Romarin,frais,0.82,Aides culinaires et ingrédients divers,Herbes
Romarin,séché,1.55,Aides culinaires et ingrédients divers,Herbes
Roquette,cru,0.95,Fruits et Légumes,Légumes
Rouget-barbet,filet avec peau,7.55,"Viandes, oeufs, poissons",Poissons crus
Rouget-barbet de roche,cru,6.73,"Viandes, oeufs, poissons",Poissons crus
Rouget-barbet de roche,vapeur,8.31,"Viandes, oeufs, poissons",Poissons crus
Roussette ou petite roussette ou saumonette,cru,10.8,"Viandes, oeufs, poissons",Poissons crus
Rutabaga,cru,0.46,Fruits et Légumes,Légumes
Sablé au cacao ou chocolat,au praliné ou autre,5.92,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Sablé aux fruits (pomme,fruits rouges,2.42,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Sabre,cru,10.8,"Viandes, oeufs, poissons",Poissons crus
Saint-Nectaire,fermier-laitier-sans précision,5.44,Produits Laitiers,
Saint-Pierre,cru,10.8,"Viandes, oeufs, poissons",Poissons crus
Salade César au poulet,(salade verte fromage  croûtos  sauce),3.14,Plats composés,Salades composées et crudités
Salade composée avec viande ou poisson,appertisée,15.5,Plats composés,Salades composées et crudités
Salade de chou ou Coleslaw,avec sauce,1.11,Plats composés,Salades composées et crudités
Salade de fruits,cru,1.1,Fruits et Légumes,Fruits
Salade de pomme de terre à la piémontaise,préemballé,3.16,Plats composés,Salades composées et crudités
Salade de pâtes,végétarienne,1.73,Plats composés,Salades composées et crudités
Salade de pâtes aux légumes,avec poisson ou viande,2.95,Plats composés,Salades composées et crudités
Salade de thon et légumes,appertisée,5.14,Plats composés,Salades composées et crudités
Salade ou chicorée frisée,cru,0.63,Fruits et Légumes,Légumes
Salade verte,cru,0.95,Fruits et Légumes,Légumes
Salicorne (Salicornia sp.),fraîche,1.18,Fruits et Légumes,Légumes
Salsifis,surgelé,0.7,Fruits et Légumes,Légumes
Salsifis,appertisé,1.06,Fruits et Légumes,Légumes
Salsifis noir,cru,0.46,Fruits et Légumes,Légumes
Sandwich baguette,saumon fumé,1.89,Plats composés,Sandwichs
Sandwich baguette,oeuf,1.93,Plats composés,Sandwichs
Sandwich baguette,thon,2.19,Plats composés,Sandwichs
Sandwich baguette,crudités diverses-dinde,2.31,Plats composés,
Sandwich baguette,porc,2.68,Plats composés,Sandwichs
Sandwich baguette,pâté,3.03,Plats composés,Sandwichs
Sandwich baguette,camembert,3.24,Plats composés,Sandwichs
Sandwich baguette,merguez-saucisson,3.47,Plats composés,
Sandwich baguette,poulet,3.51,Plats composés,Sandwichs
Sandwich baguette,jambon,4.1,Plats composés,Sandwichs
Sandwich baguette,jambon emmental,4.76,Plats composés,Sandwichs
Sandwich baguette,salami,4.85,Plats composés,Sandwichs
Sandwich grec ou Kebab,baguette-pita,11.9,Plats composés,
Sandwich pain de mie,garnitures diverses,2.68,Plats composés,Sandwichs
Sandwich pain de mie complet,thon,2.5,Plats composés,Sandwichs
Sandwich pain de mie complet,poulet,3.51,Plats composés,Sandwichs
Sandwich pain de mie complet,jambon,3.72,Plats composés,Sandwichs
Sandwich panini,jambon cru,4.4,Plats composés,Sandwichs
Sang,boeuf,27.6,"Viandes, oeufs, poissons",Viandes crues
Sardine,cru,1.94,"Viandes, oeufs, poissons",Poissons crus
Sardine,grillée,2.34,"Viandes, oeufs, poissons",Poissons cuits
Sardine,filets sans arêtes à l'huile d'olive-sauce tomate-à l'huile-à l'huile d'olive,6.09,"Viandes, oeufs, poissons",
Sarrasin entier,cru,1.16,Produits céréaliers,"Pâtes, riz et céréales"
Sarriette,séché,1.55,Aides culinaires et ingrédients divers,Herbes
Sauce Nuoc Mâm ou Sauce au poisson,préemballé,0.94,Aides culinaires et ingrédients divers,Sauces
Sauce aigre douce,préemballé,1.06,Aides culinaires et ingrédients divers,Sauces
Sauce américaine,préemballé,3.57,Aides culinaires et ingrédients divers,Sauces
Sauce armoricaine,préemballé,3.58,Aides culinaires et ingrédients divers,Sauces
Sauce au curry,préemballé,0.8,Aides culinaires et ingrédients divers,Sauces
Sauce au fromage pour risotto ou pâtes,préemballé,3.91,Aides culinaires et ingrédients divers,Sauces
Sauce au poivre,condimentaire,1.67,Aides culinaires et ingrédients divers,Sauces
Sauce au poivre,chaude,1.68,Aides culinaires et ingrédients divers,Sauces
Sauce au poivre vert,préemballé,1.13,Aides culinaires et ingrédients divers,Sauces
Sauce au roquefort,préemballé,4.38,Aides culinaires et ingrédients divers,Sauces
Sauce aux champignons,préemballé,3.83,Aides culinaires et ingrédients divers,Sauces
Sauce aux champignons et à la crème,préemballé,4.12,Aides culinaires et ingrédients divers,Sauces
Sauce aïoli,préemballé,1.43,Aides culinaires et ingrédients divers,Sauces
Sauce barbecue,préemballé,1.27,Aides culinaires et ingrédients divers,Sauces
Sauce basquaise ou Sauce aux poivrons,préemballé,1.09,Aides culinaires et ingrédients divers,Sauces
Sauce bourguignonne,préemballé,2.8,Aides culinaires et ingrédients divers,Sauces
Sauce burger,préemballé,3.01,Aides culinaires et ingrédients divers,Sauces
Sauce béarnaise,préemballé,5.07,Aides culinaires et ingrédients divers,Sauces
Sauce béchamel,maison-préemballé,2.06,Aides culinaires et ingrédients divers,
Sauce carbonara,préemballé,4.93,Aides culinaires et ingrédients divers,Sauces
Sauce chasseur,préemballé,2.23,Aides culinaires et ingrédients divers,Sauces
Sauce crudités ou Sauce salade,allégée en matière grasse-préemballé,3.01,Aides culinaires et ingrédients divers,
Sauce grand veneur,préemballé,2.81,Aides culinaires et ingrédients divers,Sauces
Sauce hollandaise,préemballé,6.15,Aides culinaires et ingrédients divers,Sauces
Sauce indienne type tandoori ou tikka masala,préemballé,1.3,Aides culinaires et ingrédients divers,Sauces
Sauce kebab,préemballé,1.9,Aides culinaires et ingrédients divers,Sauces
Sauce madère,préemballé,5.04,Aides culinaires et ingrédients divers,Sauces
Sauce moutarde,préemballé,1.95,Aides culinaires et ingrédients divers,Sauces
Sauce pesto,préemballé,2.58,Aides culinaires et ingrédients divers,Sauces
Sauce pesto rosso,préemballé,2.58,Aides culinaires et ingrédients divers,Sauces
Sauce rouille,préemballé,2.64,Aides culinaires et ingrédients divers,Sauces
Sauce soja,préemballé,0.74,Aides culinaires et ingrédients divers,Sauces
Sauce tartare,préemballé,1.67,Aides culinaires et ingrédients divers,Sauces
Sauce tomate au fromage,préemballé,1.24,Aides culinaires et ingrédients divers,Sauces
Sauce tomate aux champignons,préemballé,1.22,Aides culinaires et ingrédients divers,Sauces
Sauce tomate aux oignons,préemballé,0.91,Aides culinaires et ingrédients divers,Sauces
Sauce tomate aux olives,préemballé,0.9,Aides culinaires et ingrédients divers,Sauces
Sauce tomate aux petits légumes,préemballé,0.94,Aides culinaires et ingrédients divers,Sauces
Sauce tomate à la viande ou Sauce bolognaise,préemballé,12.2,Aides culinaires et ingrédients divers,Sauces
Sauce vinaigrette (50 à 75% d'huile),préemballé,2.68,Aides culinaires et ingrédients divers,Sauces
Sauce végétale type bolognaise,préemballé,1.35,Aides culinaires et ingrédients divers,Sauces
Sauce à l'échalote à la crème,préemballé,1.95,Aides culinaires et ingrédients divers,Sauces
Saucisse de Toulouse,cru,16.1,"Viandes, oeufs, poissons",Charcuteries
Saucisse de volaille,façon charcutière,13.6,"Viandes, oeufs, poissons",Charcuteries
Saucisse de volaille,type Knack,15.3,"Viandes, oeufs, poissons",Charcuteries
Saucisse viennoise,cru,16.1,"Viandes, oeufs, poissons",Charcuteries
Saucisse végétale au blé ou seitan,préemballé,2.14,"Viandes, oeufs, poissons",Substitut de charcuterie
Saucisse végétale au tofu (convient aux véganes ou végétaliens),préemballé,1.33,"Viandes, oeufs, poissons",Substitut de charcuterie
Saucisson de Paris,fumé,6.17,"Viandes, oeufs, poissons",Charcuteries
Saucisson sec pur porc,qualité supérieure,6.08,"Viandes, oeufs, poissons",Charcuteries
Sauge,fraîche,0.82,Aides culinaires et ingrédients divers,Herbes
Sauge,séché,1.55,Aides culinaires et ingrédients divers,Herbes
Saumon,cru,6.35,"Viandes, oeufs, poissons",Poissons crus
Saumon,élevage,7.73,"Viandes, oeufs, poissons",Poissons cuits
Saumon,grillé/poêlé,7.74,"Viandes, oeufs, poissons",Poissons cuits
Saumon,appertisé,9.67,"Viandes, oeufs, poissons",Produits à base de poissons et produits de la mer
Saupe,cru,6.73,"Viandes, oeufs, poissons",Poissons crus
Scarole,cru,1.1,Fruits et Légumes,Légumes
Seigle entier,cru,0.72,Produits céréaliers,"Pâtes, riz et céréales"
Seitan,préemballé,1.32,"Viandes, oeufs, poissons",Substituts de viande
Sel blanc alimentaire,iodé-non iodé,0.61,Aides culinaires et ingrédients divers,
Sel marin gris,non iodé,0.61,Aides culinaires et ingrédients divers,Sels
Selles-sur-Cher,(fromage de chèvre),6.5,Produits Laitiers,Fromages
Semoule au lait,rayon frais,1.49,Produits Laitiers,Produits laitiers frais et assimilés
Semoule de blé dur,cru,1.67,Produits céréaliers,"Pâtes, riz et céréales"
Sirop à diluer,sucré,1.03,Boissons,Boissons sans alcool
Soja,graine entière,1.47,Fruits et Légumes,Fruits à coque et graines oléagineuses
Sole,cru,6.73,"Viandes, oeufs, poissons",Poissons crus
Sole,frite-poêlée,8.2,"Viandes, oeufs, poissons",
Sole tropicale ou Sole langue,cru,6.73,"Viandes, oeufs, poissons",Poissons crus
Sorgho entier,cru,0.63,Produits céréaliers,"Pâtes, riz et céréales"
Soupe asiatique,avec pâtes,3.13,Plats composés,Soupes
Soupe au cresson,déshydratée reconstituée,0.52,Plats composés,Soupes
Soupe au cresson,préemballé à réchauffer,0.57,Plats composés,Soupes
Soupe au pistou,déshydratée reconstituée,0.48,Plats composés,Soupes
Soupe au pistou,préemballé à réchauffer,0.52,Plats composés,Soupes
Soupe au potiron,déshydratée reconstituée,0.7,Plats composés,Soupes
Soupe au potiron,préemballé à réchauffer,0.74,Plats composés,Soupes
Soupe aux asperges,déshydratée reconstituée,1.46,Plats composés,Soupes
Soupe aux asperges,préemballé à réchauffer,1.5,Plats composés,Soupes
Soupe aux champignons,déshydratée reconstituée,3.57,Plats composés,Soupes
Soupe aux champignons,préemballé à réchauffer,3.62,Plats composés,Soupes
Soupe aux céréales et aux légumes,déshydratée reconstituée,0.54,Plats composés,Soupes
Soupe aux lentilles,préemballé à réchauffer,0.46,Plats composés,Soupes
Soupe aux légumes avec fromage,préemballé à réchauffer,1.25,Plats composés,Soupes
Soupe aux légumes variés,déshydratée reconstituée,0.47,Plats composés,Soupes
Soupe aux légumes variés,préemballé à réchauffer,0.51,Plats composés,Soupes
Soupe aux légumes verts,déshydratée reconstituée,1.02,Plats composés,Soupes
Soupe aux légumes verts,préemballé à réchauffer,1.07,Plats composés,Soupes
Soupe aux poireaux et pommes de terre,déshydratée reconstituée,0.41,Plats composés,Soupes
Soupe aux poireaux et pommes de terre,préemballé à réchauffer,0.46,Plats composés,Soupes
Soupe aux pois cassés,préemballé à réchauffer,0.46,Plats composés,Soupes
Soupe chorba frik,à base de viande et de frik,4.33,Plats composés,Soupes
Soupe de poissons et / ou crustacés,déshydratée reconstituée,8.27,Plats composés,Soupes
Soupe de poissons et / ou crustacés,préemballé à réchauffer,8.31,Plats composés,Soupes
Soupe marocaine,déshydratée reconstituée,4.0,Plats composés,Soupes
Soupe minestrone,préemballé à réchauffer,0.52,Plats composés,Soupes
Soupe minestrone,déshydratée reconstituée,1.56,Plats composés,Soupes
Soupe à l'oignon,déshydratée reconstituée,2.2,Plats composés,Soupes
Soupe à l'oignon,préemballé à réchauffer,2.24,Plats composés,Soupes
Soupe à la carotte,préemballé à réchauffer,0.45,Plats composés,Soupes
Soupe à la tomate,déshydratée reconstituée,0.38,Plats composés,Soupes
Soupe à la tomate,préemballé à réchauffer,0.42,Plats composés,Soupes
Soupe à la tomate et aux vermicelles,déshydratée reconstituée,0.54,Plats composés,Soupes
Soupe à la tomate et aux vermicelles,préemballé à réchauffer,0.58,Plats composés,Soupes
Soupe à la volaille et aux légumes,déshydratée reconstituée-préemballé à réchauffer,0.13,Plats composés,
Soupe à la volaille et aux vermicelles,déshydratée reconstituée,0.96,Plats composés,Soupes
Soupe à la volaille et aux vermicelles,préemballé à réchauffer,1.0,Plats composés,Soupes
Spiruline (Spirulina sp.),séché ou déshydratée,6.77,Aides culinaires et ingrédients divers,Algues
Sprat,cru,1.94,"Viandes, oeufs, poissons",Poissons crus
Spécialité fromagère non affinée environ 20% MG,type fromage en barquette à tartiner ou coque fromagère,4.59,Produits Laitiers,Fromages
Spécialité fromagère non affinée environ 25% MG,type fromage en barquette à tartiner ou coque fromagère,4.98,Produits Laitiers,Fromages
Spécialité végétale type fromage en tranche,sans soja,3.36,Produits Laitiers,Fromages
Spécialité végétale type fromage râpé,sans soja,3.37,Produits Laitiers,Fromages
Spécialité végétale type fromage à tartiner,au soja,2.72,Produits Laitiers,Fromages
Spécialité végétale type jambon cuit,préemballé,1.62,"Viandes, oeufs, poissons",Substitut de charcuterie
