id,status,french_name,english_name,french_attribut,english_attribut,type,french_tag,english_tag,unit,validity_range,comment,CO2,main_type,sous_type
40443,Valide générique,Légumes,Mixed vegetables,mélange surgelé,frozen," Fruits, légumes, légumineuses et oléagineux > Légumes","Agribalyse,légumes","Agribalyse,légumes,Mixed vegetables",kgCO2e/kg de poids net,24/02/2026,Livraison : Congelé - Matériau d'emballage : PP - Préparation : Pas de préparation,1.56,"Fruits, légumes, légumineuses et oléagineux",Légumes
40035,Valide générique,Légumes farcis (sauf tomate),Stuffed vegetables (excluding tomato),,, Entrées et plats composés > Plats composés,"Agribalyse,Légumes farcis (sauf tomate),plats composés","Agribalyse,Stuffed vegetables (excluding tomato),plats composés",kgCO2e/kg de poids net,24/02/2026,Livraison : Glacé - Matériau d'emballage : PP - Préparation : Micro-onde,4.17,Entrées et plats composés,Plats composés
40439,Valide générique,Légumes pour couscous,Mixed vegetables for couscous,cuits,cooked," Fruits, légumes, légumineuses et oléagineux > Légumes","Agribalyse,légumes,Légumes pour couscous","Agribalyse,légumes,Mixed vegetables for couscous",kgCO2e/kg de poids net,24/02/2026,Livraison : Glacé - Matériau d'emballage : PP - Préparation : Micro-onde,0.866,"Fruits, légumes, légumineuses et oléagineux",Légumes
40440,Valide générique,Légumes pour couscous,Mixed vegetables for couscous,surgelés,frozen," Fruits, légumes, légumineuses et oléagineux > Légumes","Agribalyse,légumes,Légumes pour couscous","Agribalyse,légumes,Mixed vegetables for couscous",kgCO2e/kg de poids net,24/02/2026,Livraison : Congelé - Matériau d'emballage : PP - Préparation : Pas de préparation,0.804,"Fruits, légumes, légumineuses et oléagineux",Légumes
40441,Valide générique,Légumes pour potages,Mixed vegetables for soups,surgelés,frozen," Fruits, légumes, légumineuses et oléagineux > Légumes","Agribalyse,légumes,Légumes pour potages","Agribalyse,légumes,Mixed vegetables for soups",kgCO2e/kg de poids net,24/02/2026,Livraison : Congelé - Matériau d'emballage : PP - Préparation : Pas de préparation,1.56,"Fruits, légumes, légumineuses et oléagineux",Légumes
40442,Valide générique,Légumes pour ratatouille,Mixed vegetables for ratatouille,surgelés,frozen," Fruits, légumes, légumineuses et oléagineux > Légumes","Agribalyse,légumes,Légumes pour ratatouille","Agribalyse,légumes,Mixed vegetables for ratatouille",kgCO2e/kg de poids net,24/02/2026,Livraison : Congelé - Matériau d'emballage : PP - Préparation : Micro-onde,0.815,"Fruits, légumes, légumineuses et oléagineux",Légumes
40450,Valide générique,Lentille,Lentil,cuisinée,seasoned," Fruits, légumes, légumineuses et oléagineux > Légumineuses","Agribalyse,légumineuses,Lentille","Agribalyse,Lentil,légumineuses",kgCO2e/kg de poids net,24/02/2026,Livraison : Ambiant (long) - Matériau d'emballage : Acier - Préparation : Micro-onde,1.12,"Fruits, légumes, légumineuses et oléagineux",Légumineuses
40451,Valide générique,Lentille,Lentil,cuite,cooked," Fruits, légumes, légumineuses et oléagineux > Légumineuses","Agribalyse,légumineuses,Lentille","Agribalyse,Lentil,légumineuses",kgCO2e/kg de poids net,24/02/2026,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Micro-onde,0.401,"Fruits, légumes, légumineuses et oléagineux",Légumineuses
40452,Valide générique,Lentille,Lentils,germée,sprouted," Fruits, légumes, légumineuses et oléagineux > Légumineuses","Agribalyse,légumineuses,Lentille","Agribalyse,Lentils,légumineuses",kgCO2e/kg de poids net,24/02/2026,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,0.909,"Fruits, légumes, légumineuses et oléagineux",Légumineuses
40453,Valide générique,Lentille,Lentil,sèche,dried," Fruits, légumes, légumineuses et oléagineux > Légumineuses","Agribalyse,légumineuses,Lentille","Agribalyse,Lentil,légumineuses",kgCO2e/kg de poids net,24/02/2026,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,0.909,"Fruits, légumes, légumineuses et oléagineux",Légumineuses
40444,Valide générique,Lentille blonde,Lentil,cuite,blond," Fruits, légumes, légumineuses et oléagineux > Légumineuses","Agribalyse,légumineuses,Lentille blonde","Agribalyse,Lentil,légumineuses",kgCO2e/kg de poids net,24/02/2026,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Micro-onde,0.401,"Fruits, légumes, légumineuses et oléagineux",Légumineuses
40445,Valide générique,Lentille blonde,Lentil,sèche,blond," Fruits, légumes, légumineuses et oléagineux > Légumineuses","Agribalyse,légumineuses,Lentille blonde","Agribalyse,Lentil,légumineuses",kgCO2e/kg de poids net,24/02/2026,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,0.909,"Fruits, légumes, légumineuses et oléagineux",Légumineuses
